vel	AoA	pos	tau	k	error

10	10	1	0.5363296304827158	0.7451203843360708	0.029737876586772485
10	6	1	0.26919971460438574	1	1.2576683975324743
10	10	2	0.3441949523195024	0.6657372884019068	0.02293543379410146
10	6	2	0.3309359552102436	0.42439224612399484	0.06914500891769737
10	10	3	0.25060469941560276	0.7222302486681237	0.05063616692160066
10	6	3	0.6240216570346792	0.8788149352752178	0.030192861208523256
15	0	1	0.30047523311611685	0.15746874029274285	0.11961679909819144
15	10	1	1.8620902777908395	0.934299901211666	0.04644097492027658
15	6	1	0.7502129869901283	0.4	0.15282305627369966
15	10	2	1.0252065335480365	0.8022898776997138	0.04180358540366482
15	6	2	2.032398892022726	1	0.09868483008061292
15	10	3	0.4538763285364507	0.6776810894843143	0.00458077667598026
15	6	3	1.774107291447355	1	0.16850862928572755
